dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
higgs,random,2,0.7077,0.5503835403248113,0.7065166015666673,0.7063789589329954,0.41308964902782097,0.8086203961292235,0.7887547393062517,,2
higgs,stratified,2,0.7127,0.5547724864596134,0.7109277297087944,0.7105460329323895,0.42249501114552673,0.8031657429155779,0.7864373371371388,,2
higgs,coreset,2,0.6773,0.5871951202019378,0.6668021863847857,0.6693369634504959,0.35418962050772357,0.7702850418581977,0.7558619794588728,,2
higgs,prototype,2,0.6857,0.5776860723168554,0.6856666523751505,0.6873597711937827,0.37435684970949484,0.7899683612531955,0.7605306947483053,,2
higgs,stratified_coreset,2,0.6462,0.6051619805458478,0.6085850204668658,0.6305309965357053,0.3153118085430987,0.7681928831167004,0.7557286231383289,,2
higgs,random,3,0.707,0.5567139669903031,0.7051972101876278,0.7048330610023098,0.4110227553757792,0.8045701402718828,0.7856778722896722,,2
higgs,stratified,3,0.711,0.5541911162151185,0.7097509538648237,0.7095692771437299,0.4196027648654718,0.8065719755045712,0.7867251789093628,,2
higgs,coreset,3,0.6934,0.5704855515623259,0.688874884312398,0.6887551767374567,0.38343901516524304,0.7838130146480562,0.7711965316601469,,2
higgs,prototype,3,0.6778,0.5825617114318251,0.6777215703213535,0.6809201818879081,0.36266776066209866,0.7839969734462816,0.7568723452139647,,2
higgs,stratified_coreset,3,0.6563,0.5994348559194341,0.626215713815264,0.6421734487766454,0.33007317819517507,0.7702117053283328,0.7564637082190996,,2
higgs,random,4,0.7085,0.5564576606631745,0.7068905919310811,0.7065732747031046,0.4141886341460792,0.8057584739205969,0.7859263853847573,,2
higgs,stratified,4,0.7097,0.5563941549484467,0.7085172533738424,0.7083740465404329,0.4170947671195675,0.8050139907176379,0.7863481653814215,,2
higgs,coreset,4,0.6955,0.5710875482590798,0.6919131263007754,0.6915908947530889,0.387458514918946,0.783274081483547,0.7701382089977272,,2
higgs,prototype,4,0.689,0.5807057003436102,0.6888023770615291,0.6898155260306882,0.37901826021061896,0.788070380651833,0.7598669229933265,,2
higgs,stratified_coreset,4,0.6537,0.5983241112653979,0.6221646487316674,0.6392664976978277,0.3256930610206281,0.7840179642092171,0.761626439850962,,2
jannis,random,1,0.7018,0.7173649649378702,0.5201354209900423,0.5200958347494202,0.5320136398291492,0.610045145758541,0.8620053745915619,0.9223,4
jannis,stratified,1,0.7028,0.7181661196690995,0.5370013579007592,0.5295773078302017,0.5316520435714914,0.6069794128825697,0.8642554444991924,0.9212,4
